Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
desi-gur,Desi Gur,<p>Desi Gur — Packaged Goods</p>,A&A International Supermarkt,Food & Grocery,Packaged Goods,packaged-goods,TRUE,Size,Stk,8904137494584,,shopify,100,deny,manual,3.50,,TRUE,TRUE,8904137494584,,1,Desi Gur,FALSE,Desi Gur | A&A International Supermarkt,Buy Desi Gur at A&A International Supermarkt. Packaged Goods — authentic international products.,active
rosmarin,Rosmarin,<p>Rosmarin — Spices & Masalas</p>,A&A International Supermarkt,Food & Grocery,Spices & Masalas,"spices,-masalas",TRUE,Size,Stk,4260000933067,,shopify,100,deny,manual,2.19,,TRUE,TRUE,4260000933067,,1,Rosmarin,FALSE,Rosmarin | A&A International Supermarkt,Buy Rosmarin at A&A International Supermarkt. Spices & Masalas — authentic international products.,active
oregano,Oregano,<p>Oregano — Spices & Masalas</p>,A&A International Supermarkt,Food & Grocery,Spices & Masalas,"spices,-masalas",TRUE,Size,Stk,4260000931032,,shopify,100,deny,manual,2.19,,TRUE,TRUE,4260000931032,,1,Oregano,FALSE,Oregano | A&A International Supermarkt,Buy Oregano at A&A International Supermarkt. Spices & Masalas — authentic international products.,active
essigbaumfrucht,Essigbaumfrucht,<p>Essigbaumfrucht — Spices & Masalas</p>,A&A International Supermarkt,Food & Grocery,Spices & Masalas,"spices,-masalas",TRUE,Size,Stk,4260000931124,,shopify,100,deny,manual,1.99,,TRUE,TRUE,4260000931124,,1,Essigbaumfrucht,FALSE,Essigbaumfrucht | A&A International Supermarkt,Buy Essigbaumfrucht at A&A International Supermarkt. Spices & Masalas — authentic international products.,active
schwarz-pfeffer,Schwarz Pfeffer,<p>Schwarz Pfeffer — Spices & Masalas</p>,A&A International Supermarkt,Food & Grocery,Spices & Masalas,"spices,-masalas",TRUE,Size,Stk,4260000931155,,shopify,100,deny,manual,2.49,,TRUE,TRUE,4260000931155,,1,Schwarz Pfeffer,FALSE,Schwarz Pfeffer | A&A International Supermarkt,Buy Schwarz Pfeffer at A&A International Supermarkt. Spices & Masalas — authentic international products.,active
zimt-gemahlen,Zimt gemahlen,<p>Zimt gemahlen — Spices & Masalas</p>,A&A International Supermarkt,Food & Grocery,Spices & Masalas,"spices,-masalas",TRUE,Size,Stk,2377772000056,,shopify,100,deny,manual,2.39,,TRUE,TRUE,2377772000056,,1,Zimt gemahlen,FALSE,Zimt gemahlen | A&A International Supermarkt,Buy Zimt gemahlen at A&A International Supermarkt. Spices & Masalas — authentic international products.,active
zimt-gemahlen,,,A&A International Supermarkt,,Spices & Masalas,"spices,-masalas",TRUE,Size,Stk,4260000931131,,shopify,100,deny,manual,2.49,,TRUE,TRUE,4260000931131,,,,FALSE,,,active
paprika-gewuerz,Paprika Gewürz,<p>Paprika Gewürz — Spices & Masalas</p>,A&A International Supermarkt,Food & Grocery,Spices & Masalas,"spices,-masalas",TRUE,Size,Stk,4260000930011,,shopify,100,deny,manual,1.79,,TRUE,TRUE,4260000930011,,1,Paprika Gewürz,FALSE,Paprika Gewürz | A&A International Supermarkt,Buy Paprika Gewürz at A&A International Supermarkt. Spices & Masalas — authentic international products.,active
limon-tozu,Limon Tozu,<p>Limon Tozu — Spices & Masalas</p>,A&A International Supermarkt,Food & Grocery,Spices & Masalas,"spices,-masalas",TRUE,Size,Stk,4260000931100,,shopify,100,deny,manual,2.49,,TRUE,TRUE,4260000931100,,1,Limon Tozu,FALSE,Limon Tozu | A&A International Supermarkt,Buy Limon Tozu at A&A International Supermarkt. Spices & Masalas — authentic international products.,active
paprika-scharf,Paprika Scharf,<p>Paprika Scharf — Spices & Masalas</p>,A&A International Supermarkt,Food & Grocery,Spices & Masalas,"spices,-masalas",TRUE,Size,Stk,4260000931162,,shopify,100,deny,manual,2.49,,TRUE,TRUE,4260000931162,,1,Paprika Scharf,FALSE,Paprika Scharf | A&A International Supermarkt,Buy Paprika Scharf at A&A International Supermarkt. Spices & Masalas — authentic international products.,active
